ccn,facility_name,county_fips,state_abbr,county_name,county_name_norm,zip_code,certified_beds,avg_residents,overall_rating,latitude,longitude
335365,NYACK RIDGE REHABILITATION AND NURSING CENTER,,NY,Rockland,ROCKLAND,10989,160,149.5,1,41.1169,-73.94
335366,Woodside Manor Nursing Home Inc,,NY,Monroe,MONROE,14618,44,40.9,4,43.1116,-77.598
335369,Park Ridge Nursing Home,,NY,Monroe,MONROE,14626,120,119.2,4,43.1932,-77.701
335371,ABSOLUT CTR FOR NURSING & REHAB ENDICOTT L L C,,NY,Broome,BROOME,13760,160,156.0,4,42.1125,-76.057
335372,"NEW VANDERBILT REHABILITATION AND CARE CENTER, INC",,NY,Richmond,RICHMOND,10304,305,260.8,1,40.6204,-74.076
335373,BAINBRIDGE NURSING & REHABILITATION CENTER,,NY,Bronx,BRONX,10467,200,191.4,4,40.8813,-73.878
335374,THE PINES AT UTICA CENTER FOR NURSING AND REHAB,,NY,Oneida,ONEIDA,13501,117,113.7,1,43.0866,-75.255
335375,Schuyler Hospital Inc and Long Term Care Unit,,NY,Schuyler,SCHUYLER,14865,120,115.0,3,42.3508,-76.864
335376,SCHOELLKOPF HEALTH CENTER,,NY,Niagara,NIAGARA,14302,120,110.5,3,43.0934,-79.05
335377,TROY VICTORIAN REHABILITATION & NURSING CARE CNTR,,NY,Rensselaer,RENSSELAER,12182,120,109.7,1,42.7941,-73.663
335378,Sodus Rehabilitation & Nursing Center,,NY,Wayne,WAYNE,14551,130,105.6,3,43.2488,-77.063
335379,REGO PARK NURSING HOME,,NY,Queens,QUEENS,11368,200,190.2,3,40.7526,-73.855
335380,NORTHERN METROPOLITAN RES HEALTH CARE FACILITY INC,,NY,Rockland,ROCKLAND,10952,120,117.0,2,41.116,-74.067
335381,SCHULMAN AND SCHACHNE INST FOR NURSING & REHAB,,NY,Kings,KINGS,11212,305,305.0,2,40.6553,-73.914
335382,"THE COMMONS ON ST ANTHONY, A S N F & SHORT T R C",,NY,Cayuga,CAYUGA,13021,297,292.7,3,42.918,-76.58
335383,ST CABRINI NURSING HOME,,NY,Westchester,WESTCHESTER,10522,304,286.0,3,41.0084,-73.879
335386,THE GRAND REHABILITATION AND NURSING AT MOHAWK,,NY,Herkimer,HERKIMER,13357,120,112.1,1,43.019,-75.047
335387,PENINSULA NURSING AND REHABILITATION CENTER,,NY,Queens,QUEENS,11691,200,179.8,2,40.6022,-73.76
335388,LACONIA NURSING HOME,,NY,Bronx,BRONX,10466,240,237.6,2,40.8881,-73.848
335389,LIVINGSTON HILLS NURSING AND REHABILITATION CENTER,,NY,Columbia,COLUMBIA,12541,120,111.6,1,42.1415,-73.778
335390,SURGE REHABILITATION AND NURSING LLC,,NY,Suffolk,SUFFOLK,11953,164,129.4,2,40.892,-72.968
335391,ELDERWOOD AT GRAND ISLAND,,NY,Erie,ERIE,14072,90,81.4,4,43.0395,-78.98
335392,CROWN PARK REHABILITATION AND NURSING CENTER,,NY,Cortland,CORTLAND,13045,200,184.9,2,42.5962,-76.161
335393,"SUSQUEHANNA NURSING & REHABILITATION CENTER, L L C",,NY,Broome,BROOME,13790,160,144.8,1,42.1006,-75.959
335394,WESLEY HEALTH CARE CENTER INC,,NY,Saratoga,SARATOGA,12866,305,279.4,2,43.0875,-73.789
335396,MONTGOMERY NURSING AND REHABILITATION CENTER,,NY,Orange,ORANGE,12549,100,93.2,2,41.5443,-74.239
335397,ORCHARD REHABILITATION & NURSING CENTER,,NY,Orleans,ORLEANS,14103,160,151.4,3,43.2157,-78.37
335398,SANS SOUCI REHABILITATION AND NURSING CENTER,,NY,Westchester,WESTCHESTER,10703,120,105.7,2,40.9439,-73.891
335399,HUDSON VALLEY REHABILITATION & EXTENDED CARE CTR,,NY,Ulster,ULSTER,12528,203,112.5,1,41.7175,-74.006
335400,"Seneca Nursing & Rehabilitation Center, LLC",,NY,Seneca,SENECA,13165,120,65.1,4,42.9064,-76.847
335401,MOMENTUM AT SOUTH BAY FOR REHAB AND NURSING,,NY,Suffolk,SUFFOLK,11730,160,143.3,5,40.7347,-73.175
335402,"OASIS REHABILITATION AND NURSING, LLC",,NY,Suffolk,SUFFOLK,11934,100,95.8,5,40.8092,-72.776
335403,Wayne Health Care,,NY,Wayne,WAYNE,14513,182,176.2,4,43.0612,-77.112
335404,RENAISSANCE REHABILITATION AND NURSING CARE CENTER,,NY,Dutchess,DUTCHESS,12580,120,99.5,1,41.835,-73.933
335405,FERNCLIFF NURSING HOME CO INC,,NY,Dutchess,DUTCHESS,12572,305,233.9,2,41.9441,-73.933
335406,Wayne County Nursing Home,,NY,Wayne,WAYNE,14489,192,136.3,1,43.0652,-77.029
335407,Penfield Place,,NY,Monroe,MONROE,14526,48,47.3,5,43.1297,-77.486
335408,Wedgewood Nursing and Rehabilitation Center,,NY,Monroe,MONROE,14559,29,25.6,2,43.1927,-77.802
335409,SUNNYSIDE CARE CENTER,,NY,Onondaga,ONONDAGA,13057,80,73.4,2,43.1091,-76.038
335410,WATERS EDGE AT PORT JEFFERSON FOR REHAB AND NRSG,,NY,Suffolk,SUFFOLK,11777,120,107.5,2,40.9364,-73.07
335411,SEA CREST NURSING AND REHABILITATION CENTER,,NY,Kings,KINGS,11224,305,274.9,4,40.573,-73.991
