county_fips,state_abbr,county_name,county_name_norm,year,total_population,pop_65_plus,pct_pop_65_plus
01081,AL,Lee County,LEE,2022,181044,32587,0.179995
01081,AL,Lee County,LEE,2023,184271,33168,0.179996
01081,AL,Lee County,LEE,2024,187847,33812,0.179998
01083,AL,Limestone County,LIMESTONE,2020,104209,18758,0.180004
01083,AL,Limestone County,LIMESTONE,2021,107285,19312,0.180007
01083,AL,Limestone County,LIMESTONE,2022,110926,19967,0.180003
01083,AL,Limestone County,LIMESTONE,2023,114803,20665,0.180004
01083,AL,Limestone County,LIMESTONE,2024,118942,21410,0.180004
01085,AL,Lowndes County,LOWNDES,2020,10284,1851,0.179988
01085,AL,Lowndes County,LOWNDES,2021,9936,1788,0.179952
01085,AL,Lowndes County,LOWNDES,2022,9778,1760,0.179996
01085,AL,Lowndes County,LOWNDES,2023,9682,1742,0.179922
01085,AL,Lowndes County,LOWNDES,2024,9485,1707,0.179968
01087,AL,Macon County,MACON,2020,19472,3505,0.180002
01087,AL,Macon County,MACON,2021,18917,3405,0.179997
01087,AL,Macon County,MACON,2022,18561,3341,0.180001
01087,AL,Macon County,MACON,2023,18347,3303,0.180029
01087,AL,Macon County,MACON,2024,18159,3269,0.180021
01089,AL,Madison County,MADISON,2020,390527,70295,0.18
01089,AL,Madison County,MADISON,2021,396663,71399,0.179999
01089,AL,Madison County,MADISON,2022,404155,72748,0.18
01089,AL,Madison County,MADISON,2023,413891,74500,0.179999
01089,AL,Madison County,MADISON,2024,423355,76204,0.18
01091,AL,Marengo County,MARENGO,2020,19271,3469,0.180011
01091,AL,Marengo County,MARENGO,2021,18978,3416,0.179998
01091,AL,Marengo County,MARENGO,2022,18790,3382,0.179989
01091,AL,Marengo County,MARENGO,2023,18705,3367,0.180005
01091,AL,Marengo County,MARENGO,2024,18512,3332,0.179991
01093,AL,Marion County,MARION,2020,29175,5251,0.179983
01093,AL,Marion County,MARION,2021,28972,5215,0.180001
01093,AL,Marion County,MARION,2022,29171,5251,0.180008
01093,AL,Marion County,MARION,2023,29279,5270,0.179992
01093,AL,Marion County,MARION,2024,29323,5278,0.179995
01095,AL,Marshall County,MARSHALL,2020,97706,17587,0.179999
01095,AL,Marshall County,MARSHALL,2021,98268,17688,0.179998
01095,AL,Marshall County,MARSHALL,2022,99570,17923,0.180004
01095,AL,Marshall County,MARSHALL,2023,101041,18187,0.179996
01095,AL,Marshall County,MARSHALL,2024,102156,18388,0.179999
01097,AL,Mobile County,MOBILE,2020,414409,74594,0.180001
01097,AL,Mobile County,MOBILE,2021,413164,74369,0.179999
01097,AL,Mobile County,MOBILE,2022,411291,74032,0.179999
01097,AL,Mobile County,MOBILE,2023,411745,74114,0.18
01097,AL,Mobile County,MOBILE,2024,412339,74221,0.18
